Timestamp,Data,Target,Prediction
Mon Oct 09 12:06:45 2017,15,13,12.876616
Mon Oct 09 12:06:46 2017,15,13,12.833836
Mon Oct 09 12:06:46 2017,16,13,12.829014
Mon Oct 09 12:06:47 2017,15,13,12.856577
Mon Oct 09 12:06:47 2017,14,13,12.895742
Mon Oct 09 12:06:48 2017,15,14,12.920525
Mon Oct 09 12:06:48 2017,15,14,13.3947115
Mon Oct 09 12:06:49 2017,15,13,13.735959
Mon Oct 09 12:06:49 2017,15,14,13.562408
Mon Oct 09 12:06:50 2017,15,14,13.847587
Mon Oct 09 12:06:50 2017,15,14,14.046297
Mon Oct 09 12:06:51 2017,15,14,14.193146
Mon Oct 09 12:06:51 2017,15,14,14.235787
Mon Oct 09 12:06:52 2017,15,14,14.288065
Mon Oct 09 12:06:53 2017,15,14,14.314887
Mon Oct 09 12:06:53 2017,15,14,14.28493
Mon Oct 09 12:06:54 2017,15,14,14.273556
Mon Oct 09 12:06:54 2017,15,14,14.23254
Mon Oct 09 12:06:55 2017,15,14,14.194028
Mon Oct 09 12:06:55 2017,15,14,14.136297
Mon Oct 09 12:06:56 2017,15,14,14.127481
Mon Oct 09 12:06:56 2017,15,14,14.072036
Mon Oct 09 12:06:57 2017,15,14,14.04896
Mon Oct 09 12:06:57 2017,15,14,14.033891
Mon Oct 09 12:06:58 2017,15,14,14.025719
Mon Oct 09 12:06:58 2017,15,14,14.013569
Mon Oct 09 12:06:59 2017,15,14,13.996664
Mon Oct 09 12:06:59 2017,15,14,14.011285
Mon Oct 09 12:07:00 2017,15,14,14.013487
Mon Oct 09 12:07:00 2017,14,14,14.025282
Mon Oct 09 12:07:01 2017,14,14,14.067363
Mon Oct 09 12:07:01 2017,14,14,14.080762
Mon Oct 09 12:07:02 2017,14,14,14.081347
Mon Oct 09 12:07:02 2017,14,14,14.090623
Mon Oct 09 12:07:03 2017,14,14,14.125386
Mon Oct 09 12:07:03 2017,14,14,14.128338
Mon Oct 09 12:07:04 2017,14,14,14.126073
Mon Oct 09 12:07:04 2017,14,14,14.119326
Mon Oct 09 12:07:05 2017,14,14,14.120714
Mon Oct 09 12:07:05 2017,14,14,14.124647
Mon Oct 09 12:07:06 2017,14,14,14.116764
Mon Oct 09 12:07:06 2017,14,14,14.097171
Mon Oct 09 12:07:07 2017,14,14,14.080353
Mon Oct 09 12:07:07 2017,14,13,14.056066
Mon Oct 09 12:07:08 2017,14,13,13.643489
Mon Oct 09 12:07:08 2017,14,13,13.292352
Mon Oct 09 12:07:09 2017,14,13,13.071507
Mon Oct 09 12:07:09 2017,14,13,12.912199
Mon Oct 09 12:07:10 2017,14,13,12.827733
Mon Oct 09 12:07:10 2017,14,13,12.792019
Mon Oct 09 12:07:11 2017,14,13,12.797124
Mon Oct 09 12:07:12 2017,14,13,12.833813
Mon Oct 09 12:07:12 2017,14,13,12.905577
Mon Oct 09 12:07:13 2017,14,12,12.947856
Mon Oct 09 12:07:13 2017,14,13,12.534742
Mon Oct 09 12:07:13 2017,14,13,12.697353
Mon Oct 09 12:07:14 2017,14,13,12.824567
Mon Oct 09 12:07:14 2017,14,13,12.919289
Mon Oct 09 12:07:15 2017,14,13,13.032962
Mon Oct 09 12:07:15 2017,14,13,13.099325
Mon Oct 09 12:07:16 2017,14,13,13.149729
Mon Oct 09 12:07:16 2017,14,13,13.158985
Mon Oct 09 12:07:17 2017,14,12,13.176355
Mon Oct 09 12:07:17 2017,14,14,12.771034
Mon Oct 09 12:07:18 2017,14,13,13.277023
Mon Oct 09 12:07:18 2017,14,14,13.236289
Mon Oct 09 12:07:19 2017,14,14,13.626981
Mon Oct 09 12:07:19 2017,14,14,13.9135895
Mon Oct 09 12:07:20 2017,14,14,14.109592
Mon Oct 09 12:07:20 2017,14,14,14.231654
Mon Oct 09 12:07:21 2017,14,14,14.256207
Mon Oct 09 12:07:21 2017,14,14,14.3021555
Mon Oct 09 12:07:22 2017,14,14,14.27728
Mon Oct 09 12:07:22 2017,14,14,14.22405
Mon Oct 09 12:07:23 2017,14,14,14.175128
Mon Oct 09 12:07:23 2017,14,14,14.171474
Mon Oct 09 12:07:24 2017,14,14,14.141539
Mon Oct 09 12:07:24 2017,14,14,14.140399
Mon Oct 09 12:07:25 2017,14,14,14.127929
Mon Oct 09 12:07:25 2017,14,14,14.102154
Mon Oct 09 12:07:26 2017,14,14,14.120904
Mon Oct 09 12:07:26 2017,14,14,14.105021
Mon Oct 09 12:07:27 2017,14,14,14.076507
Mon Oct 09 12:07:27 2017,14,14,14.095076
Mon Oct 09 12:07:28 2017,14,14,14.078891
Mon Oct 09 12:07:28 2017,14,14,14.064336
Mon Oct 09 12:07:29 2017,14,14,14.058525
Mon Oct 09 12:07:29 2017,14,14,14.04911
Mon Oct 09 12:07:30 2017,14,14,14.073745
Mon Oct 09 12:07:31 2017,14,14,14.073873
Mon Oct 09 12:07:31 2017,14,14,14.058073
Mon Oct 09 12:07:32 2017,14,14,14.050824
Mon Oct 09 12:07:32 2017,14,14,14.046738
Mon Oct 09 12:07:33 2017,14,14,14.027373
