Timestamp,Data,Target,Prediction
Mon Oct 09 15:17:58 2017,21,18,17.92076
Mon Oct 09 15:17:59 2017,20,18,17.91817
Mon Oct 09 15:17:59 2017,20,18,17.98323
Mon Oct 09 15:18:00 2017,20,18,18.017483
Mon Oct 09 15:18:00 2017,20,18,18.036972
Mon Oct 09 15:18:01 2017,20,18,18.030642
Mon Oct 09 15:18:01 2017,21,18,18.03203
Mon Oct 09 15:18:01 2017,20,18,18.056078
Mon Oct 09 15:18:02 2017,20,18,18.0805
Mon Oct 09 15:18:02 2017,20,18,18.096977
Mon Oct 09 15:18:03 2017,21,18,18.069931
Mon Oct 09 15:18:03 2017,21,18,18.097044
Mon Oct 09 15:18:04 2017,20,19,18.060835
Mon Oct 09 15:18:04 2017,20,18,18.486822
Mon Oct 09 15:18:05 2017,20,18,18.385773
Mon Oct 09 15:18:05 2017,20,18,18.300226
Mon Oct 09 15:18:06 2017,20,18,18.205275
Mon Oct 09 15:18:06 2017,21,19,18.164078
Mon Oct 09 15:18:07 2017,21,19,18.526846
Mon Oct 09 15:18:07 2017,21,19,18.822102
Mon Oct 09 15:18:08 2017,20,19,19.037708
Mon Oct 09 15:18:09 2017,20,19,19.176918
Mon Oct 09 15:18:09 2017,20,19,19.243826
Mon Oct 09 15:18:10 2017,20,20,19.305159
Mon Oct 09 15:18:10 2017,20,20,19.70546
Mon Oct 09 15:18:11 2017,21,19,20.028492
Mon Oct 09 15:18:11 2017,21,19,19.763697
Mon Oct 09 15:18:12 2017,21,19,19.571682
Mon Oct 09 15:18:12 2017,21,18,19.382519
Mon Oct 09 15:18:13 2017,21,18,18.845081
Mon Oct 09 15:18:13 2017,20,18,18.401264
Mon Oct 09 15:18:14 2017,21,18,18.084631
Mon Oct 09 15:18:14 2017,21,19,17.884724
Mon Oct 09 15:18:15 2017,21,18,18.182772
Mon Oct 09 15:18:15 2017,21,19,18.0617
Mon Oct 09 15:18:16 2017,21,18,18.438684
Mon Oct 09 15:18:16 2017,21,19,18.273476
Mon Oct 09 15:18:17 2017,21,18,18.577028
Mon Oct 09 15:18:17 2017,20,19,18.366009
Mon Oct 09 15:18:18 2017,20,19,18.627527
Mon Oct 09 15:18:18 2017,20,18,18.84381
Mon Oct 09 15:18:19 2017,19,18,18.608412
Mon Oct 09 15:18:19 2017,20,18,18.385614
Mon Oct 09 15:18:20 2017,20,19,18.203938
Mon Oct 09 15:18:20 2017,20,19,18.544825
Mon Oct 09 15:18:21 2017,20,19,18.792252
Mon Oct 09 15:18:21 2017,20,19,18.99247
Mon Oct 09 15:18:22 2017,19,18,19.12345
Mon Oct 09 15:18:22 2017,20,20,18.786337
Mon Oct 09 15:18:23 2017,20,20,19.380869
Mon Oct 09 15:18:23 2017,20,20,19.804764
Mon Oct 09 15:18:24 2017,20,20,20.084196
Mon Oct 09 15:18:24 2017,20,20,20.207859
Mon Oct 09 15:18:25 2017,20,20,20.319403
Mon Oct 09 15:18:25 2017,20,20,20.352707
Mon Oct 09 15:18:26 2017,19,20,20.340801
